Solver,Graph_Index,Nodes,Optimal_Result,Time_Taken,Timed_Out
ILP,0,29,28,0.5811710357666016,False
CP,0,29,17,3.06915020942688,False
ILP,1,27,26,0.7043514251708984,False
CP,1,27,19,2.5046873092651367,False
ILP,2,106,105,9.903414249420166,False
CP,2,106,22,159.75740003585815,False
ILP,3,91,90,7.153145790100098,False
CP,3,91,62,159.08867001533508,False
ILP,4,36,35,1.2970244884490967,False
CP,4,36,23,4.791964530944824,False
ILP,5,64,63,3.8706283569335938,False
CP,5,64,51,44.10381269454956,False
ILP,6,36,35,1.1587166786193848,False
CP,6,36,31,4.687406778335571,False
ILP,7,9,8,0.10096573829650879,False
CP,7,9,4,0.34830379486083984,False
ILP,8,64,63,4.031381130218506,False
CP,8,64,52,40.746644496917725,False
ILP,9,20,19,0.47142791748046875,False
CP,9,20,13,1.252255916595459,False
ILP,10,87,86,8.057012557983398,False
CP,10,87,38,154.8028426170349,False
ILP,11,6,5,0.07784771919250488,False
CP,11,6,5,0.2434253692626953,False
ILP,12,100,99,10.408198595046997,False
CP,12,100,51,157.33122944831848,False
ILP,13,27,26,0.812441349029541,False
CP,13,27,15,2.9274837970733643,False
ILP,14,16,15,0.19460105895996094,False
CP,14,16,8,0.8432586193084717,False
ILP,15,64,63,2.609205722808838,False
CP,15,64,38,77.05138635635376,False
ILP,16,64,63,2.4373724460601807,False
CP,16,64,45,52.59378123283386,False
ILP,17,30,29,0.5431191921234131,False
CP,17,30,24,3.4990038871765137,False
ILP,18,8,7,0.06476259231567383,False
CP,18,8,5,0.29570937156677246,False
ILP,19,82,81,4.5650811195373535,False
CP,19,82,37,154.85678434371948,False
ILP,20,64,63,3.9656739234924316,False
CP,20,64,51,25.676782846450806,False
ILP,21,100,99,9.806452989578247,False
CP,21,100,42,155.77806615829468,False
ILP,22,27,26,0.5642962455749512,False
CP,22,27,23,2.505561113357544,False
ILP,23,64,63,2.643062114715576,False
CP,23,64,28,71.88909029960632,False
ILP,24,27,26,0.5021231174468994,False
CP,24,27,18,2.525947093963623,False
ILP,25,20,19,0.26895856857299805,False
CP,25,20,18,1.2336690425872803,False
ILP,26,66,65,2.7414608001708984,False
CP,26,66,35,49.71098327636719,False
ILP,27,8,7,0.07454085350036621,False
CP,27,8,4,0.284137487411499,False
ILP,28,64,63,2.806297779083252,False
CP,28,64,53,29.91143035888672,False
ILP,29,8,7,0.06850385665893555,False
CP,29,8,4,0.29852294921875,False
ILP,30,80,79,3.8690054416656494,False
CP,30,80,36,153.3016438484192,False
ILP,31,27,26,0.5894336700439453,False
CP,31,27,15,2.933830738067627,False
ILP,32,58,57,2.2383573055267334,False
CP,32,58,50,19.048707962036133,False
ILP,33,64,63,2.9860100746154785,False
CP,33,64,32,63.69077014923096,False
ILP,34,64,63,2.7729692459106445,False
CP,34,64,35,60.33163022994995,False
ILP,35,81,80,4.149375915527344,False
CP,35,81,45,154.03247666358948,False
ILP,36,64,63,2.9185566902160645,False
CP,36,64,44,75.92058515548706,False
ILP,37,27,26,0.5416982173919678,False
CP,37,27,18,2.886737585067749,False
ILP,38,27,26,0.5232038497924805,False
CP,38,27,19,2.6392855644226074,False
ILP,39,74,73,3.714198350906372,False
CP,39,74,40,152.82190608978271,False
ILP,40,77,76,4.126126527786255,False
CP,40,77,34,127.82826709747314,False
ILP,41,8,7,0.2180790901184082,False
CP,41,8,4,0.3779721260070801,False
ILP,42,27,26,0.6775469779968262,False
CP,42,27,13,2.700371026992798,False
ILP,43,8,7,0.059558868408203125,False
CP,43,8,5,0.29716038703918457,False
ILP,44,74,73,3.7194337844848633,False
CP,44,74,61,115.76388907432556,False
ILP,45,64,63,2.859795570373535,False
CP,45,64,52,29.03120470046997,False
ILP,46,81,80,4.265849590301514,False
CP,46,81,46,153.0292263031006,False
ILP,47,102,101,6.869797706604004,False
CP,47,102,35,157.52576804161072,False
ILP,48,81,80,4.338937759399414,False
CP,48,81,47,153.06191563606262,False
ILP,49,90,89,5.646791219711304,False
CP,49,90,58,154.2600452899933,False
ILP,50,25,24,0.5909504890441895,False
CP,50,25,16,2.2812483310699463,False
ILP,51,37,36,0.9339718818664551,False
CP,51,37,27,5.691009521484375,False
ILP,52,8,7,0.06190371513366699,False
CP,52,8,4,0.3443779945373535,False
ILP,53,15,14,0.1783909797668457,False
CP,53,15,11,0.7727401256561279,False
ILP,54,81,80,4.265942335128784,False
CP,54,81,53,153.00085020065308,False
ILP,55,36,35,0.8920884132385254,False
CP,55,36,27,4.966731309890747,False
ILP,56,19,18,0.3082726001739502,False
CP,56,19,9,1.6038899421691895,False
ILP,57,64,63,2.765685558319092,False
CP,57,64,45,36.05172324180603,False
ILP,58,73,72,3.5492379665374756,False
CP,58,73,42,134.53223371505737,False
ILP,59,76,75,3.898578405380249,False
CP,59,76,72,105.00304436683655,False
ILP,60,81,80,4.316907167434692,False
CP,60,81,77,86.47557997703552,False
ILP,61,58,57,2.332733392715454,False
CP,61,58,40,24.284104108810425,False
ILP,62,49,48,1.554978847503662,False
CP,62,49,29,12.846184492111206,False
ILP,63,49,48,1.556427001953125,False
CP,63,49,46,13.77222228050232,False
ILP,64,1,0,0.02666926383972168,False
CP,64,1,0,0.20576715469360352,False
ILP,65,64,63,2.7266030311584473,False
CP,65,64,38,118.02909517288208,False
ILP,66,27,26,0.5855765342712402,False
CP,66,27,19,2.979299783706665,False
ILP,67,92,91,5.668026685714722,False
CP,67,92,66,154.05750799179077,False
ILP,68,36,35,1.227839708328247,False
CP,68,36,30,5.235106945037842,False
ILP,69,33,32,0.8511867523193359,False
CP,69,33,21,3.9928836822509766,False
ILP,70,64,63,2.750208616256714,False
CP,70,64,44,55.12652230262756,False
ILP,71,34,33,0.802962064743042,False
CP,71,34,21,5.041215896606445,False
ILP,72,13,12,0.15378427505493164,False
CP,72,13,6,0.6233203411102295,False
ILP,73,31,30,0.6423311233520508,False
CP,73,31,23,3.419365644454956,False
ILP,74,35,34,0.8933537006378174,False
CP,74,35,20,5.467036247253418,False
ILP,75,106,105,7.3993165493011475,False
CP,75,106,25,156.35525345802307,False
ILP,76,27,26,0.7497425079345703,False
CP,76,27,15,3.335846185684204,False
ILP,77,28,27,0.6114447116851807,False
CP,77,28,22,3.259061813354492,False
ILP,78,64,63,3.164232015609741,False
CP,78,64,57,26.01085329055786,False
ILP,79,83,82,5.0358335971832275,False
CP,79,83,48,153.89369201660156,False
ILP,80,66,65,2.951317310333252,False
CP,80,66,35,73.778329372406,False
ILP,81,27,26,0.5174367427825928,False
CP,81,27,20,2.709801435470581,False
ILP,82,64,63,2.82662034034729,False
CP,82,64,33,53.3463020324707,False
ILP,83,100,99,6.685635805130005,False
CP,83,100,95,106.00710391998291,False
ILP,84,64,63,2.946577310562134,False
CP,84,64,44,48.3700156211853,False
ILP,85,83,82,4.587110996246338,False
CP,85,83,47,153.19357585906982,False
ILP,86,51,50,1.7022898197174072,False
CP,86,51,48,17.77868413925171,False
ILP,87,92,91,5.850933790206909,False
CP,87,92,66,154.11930775642395,False
ILP,88,16,15,0.28630590438842773,False
CP,88,16,8,0.9632754325866699,False
ILP,89,64,63,2.9213500022888184,False
CP,89,64,58,23.046833992004395,False
ILP,90,9,8,0.07657217979431152,False
CP,90,9,6,0.38440632820129395,False
ILP,91,27,26,0.5994644165039062,False
CP,91,27,17,2.8007969856262207,False
ILP,92,82,81,4.366168022155762,False
CP,92,82,54,153.15574741363525,False
ILP,93,100,99,6.84274697303772,False
CP,93,100,71,154.5129680633545,False
ILP,94,54,53,1.997091293334961,False
CP,94,54,29,23.69254422187805,False
ILP,95,27,26,0.5731210708618164,False
CP,95,27,17,2.854609251022339,False
ILP,96,64,63,2.7919111251831055,False
CP,96,64,55,43.06376528739929,False
ILP,97,92,91,5.731742858886719,False
CP,97,92,46,154.02733421325684,False
ILP,98,25,24,0.5883963108062744,False
CP,98,25,22,2.393521308898926,False
ILP,99,1,0,0.019572973251342773,False
CP,99,1,0,0.1654815673828125,False
