Solver,Graph_Index,Nodes,Optimal_Result,Time_Taken,Timed_Out
ILP,0,102,101,7.350247621536255,False
CP,0,102,100,67.20980477333069,False
ILP,1,27,26,0.9097661972045898,False
CP,1,27,22,3.2463321685791016,False
ILP,2,100,99,7.661403179168701,False
CP,2,100,90,98.9098482131958,False
ILP,3,9,8,0.18222427368164062,False
CP,3,9,6,0.45641446113586426,False
ILP,4,64,63,3.23442006111145,False
CP,4,64,56,25.303534030914307,False
ILP,5,66,65,3.1797075271606445,False
CP,5,66,64,21.569712162017822,False
ILP,6,60,59,2.494582414627075,False
CP,6,60,58,13.951077222824097,False
ILP,7,8,7,0.09732556343078613,False
CP,7,8,5,0.44115281105041504,False
ILP,8,64,63,3.173398733139038,False
CP,8,64,53,31.829933643341064,False
ILP,9,9,8,0.10464596748352051,False
CP,9,9,7,0.4152395725250244,False
ILP,10,23,22,0.8344457149505615,False
CP,10,23,21,1.8519628047943115,False
ILP,11,15,14,0.2626776695251465,False
CP,11,15,13,0.6685490608215332,False
ILP,12,81,80,4.106431245803833,False
CP,12,81,73,42.5662899017334,False
ILP,13,37,36,0.7633163928985596,False
CP,13,37,35,3.640562057495117,False
ILP,14,64,63,2.7392923831939697,False
CP,14,64,43,61.83438158035278,False
ILP,15,92,91,4.666393518447876,False
CP,15,92,90,37.71217966079712,False
ILP,16,16,15,0.17774057388305664,False
CP,16,16,13,0.728522777557373,False
ILP,17,64,63,2.366966485977173,False
CP,17,64,60,17.381420135498047,False
ILP,18,25,24,0.4381139278411865,False
CP,18,25,19,1.7988379001617432,False
ILP,19,64,63,2.5047552585601807,False
CP,19,64,58,19.446109771728516,False
ILP,20,54,53,1.5770721435546875,False
CP,20,54,52,8.20542049407959,False
ILP,21,27,26,0.47008609771728516,False
CP,21,27,21,2.316603422164917,False
ILP,22,64,63,2.557523488998413,False
CP,22,64,53,21.46728491783142,False
ILP,23,54,53,1.591134786605835,False
CP,23,54,52,9.963055849075317,False
ILP,24,81,80,4.0518269538879395,False
CP,24,81,77,37.21420764923096,False
ILP,25,20,19,0.2692291736602783,False
CP,25,20,18,1.104215145111084,False
ILP,26,84,83,3.8401830196380615,False
CP,26,84,82,25.51262068748474,False
ILP,27,27,26,0.4999077320098877,False
CP,27,27,22,2.3759634494781494,False
ILP,28,64,63,2.6421244144439697,False
CP,28,64,53,23.222721576690674,False
ILP,29,27,26,0.4851827621459961,False
CP,29,27,21,2.430483818054199,False
